latitude,longitude,acq_datetime,frp,satellite,confidence,daynight,source,weight
42.8192,-81.3248,2026-07-31T06:43:00Z,0.69,N,n,N,VIIRS_SNPP_NRT,1
41.4542,-81.6752,2026-07-31T06:43:00Z,0.97,N,n,N,VIIRS_SNPP_NRT,1
41.4533,-81.6799,2026-07-31T06:43:00Z,1.17,N,n,N,VIIRS_SNPP_NRT,1
41.453,-81.6749,2026-07-31T06:43:00Z,1.3,N,n,N,VIIRS_SNPP_NRT,1
41.369,-84.9233,2026-07-31T06:43:00Z,0.89,N,n,N,VIIRS_SNPP_NRT,1
41.2226,-83.2114,2026-07-31T06:43:00Z,2.02,N,n,N,VIIRS_SNPP_NRT,1
41.2169,-80.514,2026-07-31T06:43:00Z,1.37,N,n,N,VIIRS_SNPP_NRT,1
41.2167,-80.5098,2026-07-31T06:43:00Z,1.11,N,n,N,VIIRS_SNPP_NRT,1
40.6362,-74.2188,2026-07-31T06:43:00Z,1.5,N,n,N,VIIRS_SNPP_NRT,1
41.2073,-80.8174,2026-07-31T06:43:00Z,0.65,N,n,N,VIIRS_SNPP_NRT,1
41.1327,-80.6906,2026-07-31T06:43:00Z,0.41,N,n,N,VIIRS_SNPP_NRT,1
41.1272,-80.687,2026-07-31T06:43:00Z,0.5,N,n,N,VIIRS_SNPP_NRT,1
40.8936,-77.7118,2026-07-31T06:43:00Z,1.25,N,n,N,VIIRS_SNPP_NRT,1
41.5642,-84.0475,2026-07-31T06:43:00Z,4.31,N,n,N,VIIRS_SNPP_NRT,1
41.4544,-81.6801,2026-07-31T06:43:00Z,0.97,N,n,N,VIIRS_SNPP_NRT,1
41.5669,-84.0521,2026-07-31T06:43:00Z,6.01,N,n,N,VIIRS_SNPP_NRT,1
41.7537,-81.2854,2026-07-31T06:43:00Z,0.72,N,n,N,VIIRS_SNPP_NRT,1
42.8056,-80.1013,2026-07-31T06:43:00Z,2.58,N,n,N,VIIRS_SNPP_NRT,1
41.5704,-84.0472,2026-07-31T06:43:00Z,2.16,N,n,N,VIIRS_SNPP_NRT,1
42.8054,-80.0971,2026-07-31T06:43:00Z,2.58,N,n,N,VIIRS_SNPP_NRT,1
42.8007,-80.106,2026-07-31T06:43:00Z,3.22,N,n,N,VIIRS_SNPP_NRT,1
42.8005,-80.1019,2026-07-31T06:43:00Z,2.58,N,n,N,VIIRS_SNPP_NRT,1
42.495,-73.8184,2026-07-31T06:43:00Z,1.05,N,n,N,VIIRS_SNPP_NRT,1
42.2835,-83.1146,2026-07-31T06:43:00Z,0.65,N,n,N,VIIRS_SNPP_NRT,1
42.268,-83.437,2026-07-31T06:43:00Z,0.31,N,n,N,VIIRS_SNPP_NRT,1
